delay_ms,PD_RMSE,Predict_RMSE,Dynamic_RMSE
0.0,0.8118733351288347,0.8118733351288347,0.8118733351288347
20.0,0.8913592285365078,0.772294164652424,0.7725676849556593
40.0,0.9837367112396321,0.7308372797647696,0.7320635065436116
60.0,1.0937599495155763,0.6875782956469717,0.6906174027901592
80.0,1.2290938623833048,0.6426229371970833,0.648495151950251
100.0,1.4020842527252433,0.5962048849882201,0.6060849203419283
120.0,1.6327284372964943,0.5489626403243992,0.5642340653824327
140.0,1.9537296314132087,0.5027488622894668,0.5252575792607601
160.0,2.4191224604943073,0.46298635315011805,0.4958909774743002
180.0,3.118488920704482,0.44480588678742333,0.49491367254498336
200.0,4.198404762540168,0.48395479689323934,0.5668063167209227
